,Company,Specific Bean Origin,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin,price(100g)
178,Benoit Nihant,Cuyagua Village,2013,74.0,Belgium,70.0,Criollo,Venezuela,129500.0
179,Benoit Nihant,Rio Peripa H.,2013,73.0,Belgium,80.0,Trinitario,Ecuador,160600.0
180,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",2011,72.0,Belgium,80.0,Trinitario,Indonesia,158400.0
181,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",2011,72.0,Belgium,75.0,Trinitario,Madagascar,148500.0
184,Beschle (Felchlin),Maracaibo,2011,88.0,Switzerland,60.0,Criollo,Venezuela,132000.0
185,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",2011,72.0,Switzerland,70.0,Blend,Venezuela,126000.0
186,Beschle (Felchlin),Ecuador,2011,72.0,Switzerland,80.0,Blend,Ecuador,144000.0
188,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",2010,74.0,Switzerland,65.0,Criollo (Porcelana),Venezuela,120250.0
190,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",2010,72.0,Switzerland,70.0,Blend,Venezuela,126000.0
191,Bisou,"Nicaragua, American style",2015,76.0,U.S.A.,50.0,Blend,Nicaragua,95000.0
192,Bisou,"San Andres, American style",2015,76.0,U.S.A.,50.0,Blend,Costa Rica,95000.0
193,Bisou,"San Andres, silk",2015,78.0,U.S.A.,50.0,Blend,Costa Rica,97500.0
194,Bisou,Belize,2015,86.0,U.S.A.,65.0,Trinitario,Belize,153725.0
195,Bittersweet Origins,Ghana,2012,72.0,U.S.A.,70.0,Forastero,Ghana,126000.0
196,Bittersweet Origins,"Bali, Singaraja",2010,75.0,U.S.A.,65.0,Blend,Indonesia,121875.0
200,Bittersweet Origins,"Ocumare, prototype",2010,78.0,U.S.A.,60.0,Criollo,Venezuela,117000.0
201,Bittersweet Origins,Puerto Plata,2009,75.0,U.S.A.,60.0,Blend,Dominican Republic,112500.0
203,Bittersweet Origins,Sambirano,2009,75.0,U.S.A.,65.0,Trinitario,Madagascar,134062.5
205,Bittersweet Origins,Sambirano,2008,71.0,U.S.A.,60.0,Trinitario,Madagascar,117150.00000000001
206,Bittersweet Origins,Bocas del Toro,2008,75.0,U.S.A.,70.0,Blend,Panama,131250.0
213,Blanxart,"Congo, Grand Cru",2013,82.0,Spain,70.0,Forastero,Congo,143500.0
214,Blanxart,Organic Dark,2009,72.0,Spain,55.00000000000001,Blend,Other,99000.00000000001
215,Blue Bandana,"Akesson's E., Sambirano V.",2016,82.0,U.S.A.,70.0,Trinitario,Madagascar,157850.0
216,Blue Bandana,Lachua,2016,75.0,U.S.A.,55.00000000000001,Blend,Guatemala,103125.00000000001
217,Blue Bandana,Kokoa Kamili,2016,75.0,U.S.A.,70.0,Blend,Tanzania,131250.0
218,Blue Bandana,Zorzal Reserva,2016,75.0,U.S.A.,60.0,Blend,Dominican Republic,112500.0
221,Bonnat,Selva Maya,2016,75.0,France,70.0,Blend,Mexico,131250.0
222,Bonnat,Kaori,2014,75.0,France,80.0,Blend,Brazil,150000.0
223,Bonnat,"Los Colorados, Santo Domingo, Equateur",2014,75.0,France,65.0,Blend,Dominican Republic,121875.0
225,Bonnat,Maragnam,2013,75.0,France,70.0,Blend,Brazil,131250.0
226,Bonnat,Gabon,2013,75.0,France,65.0,Blend,Gabon,121875.0
227,Bonnat,Cuba,2011,75.0,France,70.0,Trinitario,Cuba,144375.0
228,Bonnat,"Cusco, Cacao Cusco",2011,75.0,France,70.0,Blend,Peru,131250.0
229,Bonnat,Piura Blanco,2011,75.0,France,70.0,Forastero (Nacional),Peru,131250.0
230,Bonnat,Libanio,2011,75.0,France,75.0,Blend,Brazil,140625.0
231,Bonnat,Haiti,2011,75.0,France,80.0,Blend,Haiti,150000.0
232,Bonnat,"Madagascar, 100% criollo",2011,75.0,France,80.0,Criollo,Madagascar,150000.0
233,Bonnat,Juliana,2011,75.0,France,70.0,Blend,Brazil,131250.0
234,Bonnat,Jamaique,2011,75.0,France,65.0,Trinitario,Jamaica,134062.5
235,Bonnat,Ivory Coast,2009,75.0,France,60.0,Blend,Ivory Coast,112500.0
236,Bonnat,"Porcelana, Apotequil",2009,75.0,France,55.00000000000001,Criollo,Peru,103125.00000000001
237,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",2009,75.0,France,60.0,Criollo,Mexico,112500.0
238,Bonnat,"Xoconusco, cacao Real",2009,75.0,France,60.0,Criollo,Mexico,112500.0
239,Bonnat,"Porcelana, Venezuela",2008,75.0,France,80.0,Criollo (Porcelana),Venezuela,150000.0
240,Bonnat,Equateur,2007,75.0,France,50.0,Forastero (Arriba),Ecuador,93750.0
241,Bonnat,Trinite,2006,75.0,France,75.0,Trinitario,Carribean,154687.5
242,Bonnat,"Ocumare, Puerto Cabello",2006,75.0,France,80.0,Blend,Venezuela,150000.0
243,Bonnat,"Maracaibo, El Rosario",2006,75.0,France,80.0,Criollo,Venezuela,150000.0
244,Bonnat,Madagascar,2006,75.0,France,80.0,Trinitario,Madagascar,165000.0
245,Bonnat,One Hundred,2006,100.0,France,30.0,Blend,Other,75000.0
246,Bonnat,Ceylan,2006,75.0,France,60.0,Blend,Sri Lanka,112500.0
247,Bonnat,Chuao,2006,75.0,France,80.0,Trinitario,Venezuela,165000.0
248,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,77.0,Ecuador,65.0,Forastero (Arriba),Ecuador,125125.0
249,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,100.0,Ecuador,30.0,Forastero (Arriba),Ecuador,75000.0
257,Brasstown aka It's Chocolate,Cooproagro,2013,72.0,U.S.A.,60.0,Trinitario,Dominican Republic,118800.00000000001
259,Brasstown aka It's Chocolate,Ghana,2013,75.0,U.S.A.,70.0,Forastero,Ghana,131250.0
260,Brasstown aka It's Chocolate,"Chuao, Mantuano blend",2013,85.0,U.S.A.,70.0,Trinitario,Venezuela,163625.0
262,Brazen,Elvesia P.,2015,80.0,U.S.A.,65.0,Blend,Dominican Republic,130000.0
264,Brazen,Ambolikapiky P.,2015,80.0,U.S.A.,55.00000000000001,Blend,Madagascar,110000.00000000001
265,Brazen,Maya Mountain,2015,80.0,U.S.A.,65.0,Trinitario,Belize,143000.0
268,Bright,Somia Plantation,2014,72.0,Australia,60.0,Trinitario,Madagascar,118800.00000000001
270,Bright,"Camino Verde, Balao, Guayas",2014,72.0,Australia,70.0,Blend,Ecuador,126000.0
274,Burnt Fork Bend,Trinidad,2014,72.0,U.S.A.,65.0,Trinitario,Trinidad,128700.00000000001
275,Burnt Fork Bend,Mindo,2014,72.0,U.S.A.,70.0,Blend,Ecuador,126000.0
276,Burnt Fork Bend,Belize,2014,72.0,U.S.A.,65.0,Trinitario,Belize,128700.00000000001
277,Burnt Fork Bend,Blend,2014,72.0,U.S.A.,65.0,Blend,Other,117000.0
280,Cacao Atlanta,Tumbes,2014,75.0,U.S.A.,50.0,Criollo,Peru,93750.0
281,Cacao Atlanta,"Dominican Republic, ""Love Bar""",2010,75.0,U.S.A.,50.0,Blend,Dominican Republic,93750.0
282,Cacao Atlanta,Dominican Republic w/ nibs,2010,75.0,U.S.A.,55.00000000000001,Blend,Dominican Republic,103125.00000000001
283,Cacao Atlanta,Patanemo,2010,75.0,U.S.A.,45.0,Blend,Venezuela,84375.0
286,Cacao Barry,Tanzania,2008,75.0,France,40.0,Blend,Tanzania,75000.0
287,Cacao Barry,Venezuela,2007,72.0,France,40.0,Blend,Venezuela,72000.0
289,Cacao de Origen,Chuao,2015,77.0,Venezuela,70.0,Trinitario,Venezuela,148225.0
290,Cacao de Origen,Rio Caribe,2015,75.0,Venezuela,65.0,Trinitario,Venezuela,134062.5
291,Cacao de Origen,Agua Fria; Sucre region,2014,75.0,Venezuela,50.0,Blend,Venezuela,93750.0
292,Cacao de Origen,Macuare; Miranda; Chloe formula,2014,74.0,Venezuela,65.0,Blend,Venezuela,120250.0
293,Cacao de Origen,"Chuao, Aragua region",2014,75.0,Venezuela,70.0,Trinitario,Venezuela,144375.0
295,Cacao de Origin,Hacienda la Trinidad,2015,74.0,Venezuela,65.0,Blend,Venezuela,120250.0
296,Cacao Hunters,Macondo,2016,71.0,Colombia,75.0,Blend,Colombia,133125.0
297,Cacao Hunters,Perla Negra,2016,74.0,Colombia,75.0,Blend,Colombia,138750.0
298,Cacao Hunters,Arhuacos,2015,72.0,Colombia,75.0,Blend,Colombia,135000.0
304,Cacao Prieto,"Criollo, Dominican Republic",2012,72.0,U.S.A.,75.0,Criollo,Dominican Republic,135000.0
305,Cacao Prieto,"Dominican Republicm, rustic",2011,72.0,U.S.A.,60.0,Blend,Dominican Republic,108000.0
309,Cacao Sampaka,Madagascar,2010,71.0,Spain,70.0,Trinitario,Madagascar,136675.0
310,Cacao Sampaka,Ecuador,2010,71.0,Spain,75.0,Blend,Ecuador,133125.0
311,Cacao Sampaka,Papua,2010,71.0,Spain,80.0,Blend,Papua New Guinea,142000.0
312,Cacao Sampaka,Grenada,2010,71.0,Spain,65.0,Trinitario,Grenada,126912.50000000001
313,Cacao Sampaka,Venezuela,2010,71.0,Spain,70.0,Blend,Venezuela,124250.0
314,Cacao Sampaka,Venezuela,2010,77.0,Spain,70.0,Blend,Venezuela,134750.0
322,Cacaoyere (Ecuatoriana),Esmeraldas,2008,71.0,Ecuador,70.0,Forastero (Arriba),Ecuador,124250.0
323,Cacaoyere (Ecuatoriana),Bolivar,2008,82.0,Ecuador,50.0,Forastero (Arriba),Ecuador,102500.0
324,Cacaoyere (Ecuatoriana),Pichincha,2008,91.0,Ecuador,30.0,Forastero (Arriba),Ecuador,68250.0
327,C-Amaro,Cuba,2014,75.0,Italy,50.0,Blend,Cuba,93750.0
328,C-Amaro,Dominican Republic,2014,72.0,Italy,60.0,Blend,Dominican Republic,108000.0
330,C-Amaro,Ecuador,2013,100.0,Italy,70.0,Blend,Ecuador,175000.0
331,C-Amaro,Venezuela,2012,80.0,Italy,60.0,Blend,Venezuela,120000.0
332,C-Amaro,Sao Tome,2011,78.0,Italy,45.0,Forastero,Sao Tome,87750.0
334,Cao,Porcelana,2016,75.0,U.S.A.,50.0,Criollo,Venezuela,93750.0
335,Cao,Tanzania,2016,73.0,U.S.A.,55.00000000000001,Blend,Tanzania,100375.00000000001
337,Cao,Bolivia,2016,75.0,U.S.A.,60.0,Blend,Bolivia,112500.0
339,Caoni (Tulicorp),Esmeraldas,2008,77.0,Ecuador,40.0,Forastero (Arriba),Ecuador,77000.0
340,Caoni (Tulicorp),Manabi,2008,77.0,Ecuador,50.0,Forastero (Arriba),Ecuador,96250.0
341,Caoni (Tulicorp),Los Rios,2008,77.0,Ecuador,55.00000000000001,Forastero (Arriba),Ecuador,105875.00000000001
347,Caribeans,"Antigua, Special Reserve",2015,72.0,Costa Rica,70.0,Blend,Guatemala,126000.0
348,Caribeans,"Talamanca, Raul-Kekoldo community",2015,72.0,Costa Rica,65.0,Blend,Costa Rica,117000.0
349,Caribeans,Anselmo Paraiso Estate,2015,72.0,Costa Rica,70.0,Blend,Costa Rica,126000.0
350,Caribeans,Costa Rica,2012,72.0,Costa Rica,60.0,Forastero,Costa Rica,108000.0
351,Caribeans,Costa Rica,2012,80.0,Costa Rica,55.00000000000001,Forastero,Costa Rica,110000.00000000001
357,Castronovo,"Maya Mtn, Batch 454, Heirloom",2016,72.0,U.S.A.,80.0,Trinitario,Belize,158400.0
358,Castronovo,"the lost city, gracias a dias, batch 362",2015,72.0,U.S.A.,70.0,Trinitario,Honduras,138600.0
360,Castronovo,"Piaroa, Amazonas, Batch 350",2015,72.0,U.S.A.,70.0,Blend,Venezuela,126000.0
361,Castronovo,Sierra Nevada,2014,72.0,U.S.A.,70.0,"Criollo, Trinitario",Colombia,138600.0
362,Castronovo,Arauca,2014,76.0,U.S.A.,70.0,"Criollo, Trinitario",Colombia,146300.0
365,Castronovo,Conacado,2013,73.0,U.S.A.,70.0,Trinitario,Dominican Republic,140525.0
368,Castronovo,Nicaragua,2013,72.0,U.S.A.,65.0,Trinitario,Nicaragua,128700.00000000001
370,Castronovo,Guaniamo,2013,72.0,U.S.A.,60.0,Blend,Venezuela,108000.0
375,Cemoi,Equateur,2009,72.0,France,55.00000000000001,Blend,Ecuador,99000.00000000001
379,Chchukululu (Tulicorp),Los Rios,2008,75.0,Ecuador,60.0,Forastero (Arriba),Ecuador,112500.0
383,Choco Del Sol,Maya Mountain w/ nibs,2014,75.0,Germany,60.0,Trinitario,Belize,123750.00000000001
384,Choco Del Sol,Maya Mountain,2014,82.0,Germany,65.0,Trinitario,Belize,146575.0
389,Chocolarder,Dominican Republic,2015,80.0,U.K.,50.0,Blend,Dominican Republic,100000.0
392,Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",2016,90.0,U.S.A.,50.0,Blend,Peru,112500.0
393,Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",2016,80.0,U.S.A.,50.0,Blend,Other,100000.0
397,Chocolate Con Amor,Dominican Republic,2016,75.0,U.S.A.,60.0,Blend,Dominican Republic,112500.0
398,Chocolate Con Amor,Ocumare,2016,80.0,U.S.A.,60.0,Criollo (Ocumare),Venezuela,120000.0
400,Chocolate Con Amor,Nicaragua,2016,80.0,U.S.A.,55.00000000000001,Blend,Nicaragua,110000.00000000001
401,Chocolate Conspiracy,Peru,2014,74.0,U.S.A.,55.00000000000001,Blend,Peru,101750.00000000001
402,Chocolate Makers,Tres Hombres,2015,75.0,Amsterdam,65.0,Trinitario,Dominican Republic,134062.5
404,Chocolate Makers,"Peru, Awagum bar",2015,80.0,Amsterdam,75.0,Criollo,Peru,150000.0
406,"Chocolate Tree, The",Carenero Superior,2015,80.0,Scotland,75.0,Trinitario,Venezuela,165000.0
408,"Chocolate Tree, The",Ecuador,2012,82.0,Scotland,50.0,Forastero (Arriba),Ecuador,102500.0
410,"Chocolate Tree, The",Madagascar,2012,72.0,Scotland,65.0,Criollo,Madagascar,117000.0
412,ChocoReko,Patanemo,2015,77.0,Japan,60.0,Criollo,Venezuela,115500.0
414,Chocovic,Xoconusco,2010,71.0,Spain,65.0,Criollo,Mexico,115375.0
415,Chocovic,Sambirano,2010,71.0,Spain,70.0,Trinitario,Madagascar,136675.0
417,Chocovic,Tarakan,2009,75.0,Spain,65.0,Blend,Other,121875.0
418,Chocovic,Ocumare,2008,71.0,Spain,70.0,Criollo,Venezuela,124250.0
419,Chocovic,"Bolivar, Guaranda",2007,71.0,Spain,50.0,Forastero (Arriba),Ecuador,88750.0
420,Chocovic,Guyave,2007,71.0,Spain,50.0,Trinitario,Grenada,97625.00000000001
423,Chocovivo,Tabasco,2015,75.0,U.S.A.,50.0,Trinitario,Mexico,103125.00000000001
424,Choklat,Ocumare,2009,80.0,Canada,50.0,Criollo,Venezuela,100000.0
427,Choklat,Brazilian,2009,80.0,Canada,60.0,Blend,Brazil,120000.0
430,Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",2016,75.0,Canada,65.0,Blend,Mexico,121875.0
433,Chuao Chocolatier (Pralus),Chuao,2010,77.0,U.S.A.,55.00000000000001,Trinitario,Venezuela,116462.50000000003
434,Claudio Corallo,Terreiro Velho P.,2010,73.5,Sao Tome,75.0,Forastero,Sao Tome & Principe,137812.5
435,Claudio Corallo,Terreiro Velho P. w/ sugar crystals,2008,80.0,Sao Tome,60.0,Forastero,Sao Tome & Principe,120000.0
436,Claudio Corallo,Terreiro Velho P.,2008,75.0,Sao Tome,80.0,Forastero,Sao Tome & Principe,150000.0
437,Claudio Corallo,Principe,2008,100.0,Sao Tome,20.0,Forastero,Sao Tome & Principe,50000.0
438,Cloudforest,"Camino Verde P., Balao, Guayas, 2014",2015,73.0,U.S.A.,70.0,Blend,Ecuador,127750.0
439,Coleman & Davis,Sambirano,2015,75.0,U.S.A.,60.0,Trinitario,Madagascar,123750.00000000001
441,Compania de Chocolate (Salgado),Carenero Superior,2008,80.0,Argentina,55.00000000000001,Trinitario,Venezuela,121000.00000000003
442,Compania de Chocolate (Salgado),Moxos,2008,72.0,Argentina,65.0,Blend,Bolivia,117000.0
444,Compania de Chocolate (Salgado),Esmeraldas,2008,88.0,Argentina,55.00000000000001,Forastero (Nacional),Ecuador,121000.00000000001
445,Condor,Camino Verde,2015,76.0,U.S.A.,70.0,Blend,Ecuador,133000.0
446,Confluence,"Tien Giang, 2015, batch 10-2-16",2016,78.0,U.S.A.,55.00000000000001,Trinitario,Vietnam,117975.00000000003
448,Coppeneur,Ghana Puristique,2012,85.0,Germany,70.0,Forastero,Ghana,148750.0
449,Coppeneur,Ecuador Puristique,2012,100.0,Germany,30.0,Blend,Ecuador,75000.0
450,Coppeneur,Uba Budo,2012,72.0,Germany,75.0,Forastero,Sao Tome & Principe,135000.0
452,Coppeneur,Grenada,2010,72.0,Germany,65.0,Trinitario,Grenada,128700.00000000001
454,Coppeneur,"Los Rios, H. Iara",2010,72.0,Germany,50.0,Nacional,Ecuador,90000.0
455,Coppeneur,Trinidad,2010,72.0,Germany,60.0,Trinitario,Trinidad,118800.00000000001
456,Coppeneur,Jamaica,2010,72.0,Germany,65.0,Trinitario,Jamaica,128700.00000000001
457,Coppeneur,Ocumare 61,2010,72.0,Germany,65.0,Criollo (Ocumare 61),Venezuela,117000.0
458,Coppeneur,"Porcelana, Apotequil",2009,72.0,Germany,60.0,Criollo,Peru,108000.0
462,Coppeneur,"Porcelana, Tabasco, Mexico",2008,72.0,Germany,60.0,Criollo,Mexico,108000.0
463,Coppeneur,"Porcelana, Venezuela",2008,72.0,Germany,60.0,Criollo (Porcelana),Venezuela,108000.0
464,Coppeneur,"Sambirano, Menava P.",2007,72.0,Germany,60.0,Trinitario,Madagascar,118800.00000000001
467,Cravve,"Vanuatu, batch 2410",2014,83.0,Australia,55.00000000000001,Trinitario,Vanuatu,125537.50000000003
468,Cravve,"Tanzania, batch a1",2012,75.0,Australia,65.0,Forastero,Tanzania,121875.0
472,Cravve,Djual Island,2012,75.0,Australia,70.0,Forastero,Papua New Guinea,131250.0
473,Creo,"""heirloom"", Arriba Nacional",2016,85.0,U.S.A.,65.0,Forastero (Nacional),Ecuador,138125.0
474,Creo,"""heirloom"", Arriba Nacional",2016,73.0,U.S.A.,75.0,Forastero (Nacional),Ecuador,136875.0
477,Dalloway,"Dominican Republic, batch 7",2017,72.0,U.S.A.,55.00000000000001,Blend,Dominican Republic,99000.00000000001
498,Danta,Los Ujuxtes,2014,82.0,Guatemala,65.0,Blend,Guatemala,133250.0
499,Danta,Chuao,2012,75.0,Guatemala,60.0,Trinitario,Venezuela,123750.00000000001
505,Danta,Las Acacias E.,2009,75.0,Guatemala,60.0,Criollo,Guatemala,112500.0
507,DAR,"Venezuela, batch 122",2016,72.0,U.S.A.,55.00000000000001,Blend,Venezuela,99000.00000000001
508,DAR,Vietnam,2016,72.0,U.S.A.,60.0,Trinitario,Vietnam,118800.00000000001
510,Dark Forest,Bolivia,2016,75.0,U.S.A.,65.0,Blend,Bolivia,121875.0
519,De Mendes,"Nativo, Varzea",2015,72.0,Brazil,70.0,Blend,Brazil,126000.0
525,Dean and Deluca (Belcolade),Ecuador,2007,71.0,U.S.A.,60.0,Blend,Ecuador,106500.0
531,Desbarres,"Kilombero, batch 41",2016,72.0,Canada,50.0,Blend,Tanzania,90000.0
532,DeVries,Bolivian,2008,80.0,U.S.A.,55.00000000000001,Blend,Bolivia,110000.00000000001
533,DeVries,Costa Rica,2007,77.0,U.S.A.,70.0,Trinitario,Costa Rica,148225.0
534,DeVries,Dominican Republic,2007,77.0,U.S.A.,70.0,Blend,Dominican Republic,134750.0
536,Dick Taylor,Tien Giang,2016,78.0,U.S.A.,70.0,Trinitario,Vietnam,150150.0
538,Dick Taylor,Elvesia,2014,74.0,U.S.A.,70.0,Blend,Dominican Republic,129500.0
540,Dick Taylor,Camino Verde,2013,76.0,U.S.A.,70.0,Blend,Ecuador,133000.0
541,Dick Taylor,Bolivia,2012,75.0,U.S.A.,55.00000000000001,Blend,Bolivia,103125.00000000001
542,Dick Taylor,Belize,2012,72.0,U.S.A.,55.00000000000001,Trinitario,Belize,108900.00000000003
543,Dick Taylor,Sambirano,2011,80.0,U.S.A.,55.00000000000001,Trinitario,Madagascar,121000.00000000003
544,Dick Taylor,Sambirano,2011,72.0,U.S.A.,60.0,Trinitario,Madagascar,118800.00000000001
545,Dick Taylor,Mantuano,2011,75.0,U.S.A.,55.00000000000001,Criollo,Venezuela,103125.00000000001
546,Dick Taylor,La Red,2011,74.0,U.S.A.,60.0,Blend,Dominican Republic,111000.0
548,Doble & Bignall,Puerto Cabello,2015,85.0,U.K.,60.0,Blend,Venezuela,127500.0
549,Doble & Bignall,"Panama, Raven",2014,72.0,U.K.,65.0,Blend,Panama,117000.0
550,Doble & Bignall,"Puerto Cabello, Mantuano",2014,72.0,U.K.,65.0,Trinitario,Venezuela,128700.00000000001
551,Doble & Bignall,Johe,2014,72.0,U.K.,70.0,"Criollo, Trinitario",Nicaragua,138600.0
